USC00105462        8782R
USC00105563        7032R
USC00105567        6581R
USC00105678        6997R
USC00105685        8589R
USC00105708        8934S
USC00105716        7719R
USC00105897        7817S
USC00105980        6916R
USC00106152        6513S
USC00106174        5856R
USC00106230        7340R
USC00106250        6895R
USC00106305        5668S
USC00106388        8811R
USC00106424        7271S
USC00106542        6256S
USC00106586        6734R
USC00106764        8029R
USC00106844        5841S
USC00106877        6946S
USC00106891        5727S
USC00107040        8365S
USC00107046        7925R
USC00107188        7234R
USC00107208        6684R
USC00107210        6446Q
USC00107264        7062R
USC00107301        7127S
USC00107320        8363S
USC00107346        7314R
USC00107386        7693C
USC00107563        8672R
USC00107644        7942R
USC00107648        6481S
USC00107673        7735S
USC00107689        7475Q
USC00107706        4976R
USC00107808        7551Q
USC00107968        6936R
USC00108022        8666S
USC00108062        6597S
USC00108080        7921S
USC00108137        7087S
USC00108380        6629R
USC00108395        7065R
USC00108412        7383R
USC00108535        8732R
USC00108676       10948S
USC00108928        5088S
USC00108937        8027S
USC00109000        7373R
USC00109065        9401R
USC00109293        5888R
USC00109303        6645S
USC00109498        7238R
USC00109560        9778R
USC00109638        5744R
USC00109698        7087Q
USC00109846        7697S
USC00109950        8223Q
USC00109951        9231R
USC00109963        6406R
USC00110055        4751R
USC00110072        6565S
USC00110137        4583R
USC00110140        6496Q
USC00110187        4366S
USC00110203        6833R
USC00110306        5687R
USC00110338        6291S
USC00110356        6134Q
USC00110442        6929R
USC00110598        5753R
USC00110608        4590R
USC00110764        5948R
USC00110993        4502S
USC00111020        4897R
USC00111160        4774S
USC00111265        4587S
USC00111280        5403R
USC00111290        5083R
USC00111302        4823R
USC00111420        6236R
USC00111436        5153S
USC00111475        5833S
USC00111497        6503S
USC00111550        5786Q
USC00111835        6820R
USC00111836        6033R
USC00112140        5458S
USC00112193        5284S
USC00112223        6820S
USC00112348        6789S
USC00112353        3960R
USC00112483        4515S
USC00112500        6471R
USC00112736        6694R
USC00112745        7135R
USC00112931        4945S
USC00112993        6099R
USC00113106        5070R
USC00113109        4777S
USC00113262        6933S
USC00113290        6449S
USC00113320        6390S
USC00113335        6559S
USC00113369        6229R
USC00113384        6216S
USC00113413        6080R
USC00113455        6018R
USC00113530        5922R
USC00113580        4273R
USC00113612        4723Q
USC00113717        5749R
USC00113879        4505R
USC00113940        5727R
USC00114013        6212R
USC00114078        4875Q
USC00114108        4824S
USC00114198        5726S
USC00114317        5045Q
USC00114400        5089R
USC00114442        5706S
USC00114447        5438Q
USC00114489        5340S
USC00114530        6151S
USC00114603        6079S
USC00114629        4612R
USC00114710        6615R
USC00114780        6254Q
USC00114805        5588S
