"","station","htdd","hdd","qual","lat","long"
"5186","USC00488888","7777R",7777,"R",43.7125,-108.6964
"5187","USC00488995","6847R",6847,"R",42.0803,-104.2236
"5188","USC00488997","7555R",7555,"R",42.4881,-104.1564
"5189","USC00489025","10280S",10280,"S",44.9167,-110.4203
"5190","USC00489205","7646S",7646,"S",44.0928,-104.6114
"5191","USC00489459","8688R",8688,"R",41.6667,-107.9667
"5192","USC00489467","7485R",7485,"R",44.4736,-109.4256
"5193","USC00489580","7350R",7350,"R",44.6406,-105.3053
"5194","USC00489604","6189R",6189,"R",42.2494,-104.6281
"5195","USC00489615","6190S",6190,"S",42.1106,-104.9492
"5196","USC00489770","7689R",7689,"R",44.0108,-107.9686
"5197","USC00489805","7881R",7881,"R",43.7472,-105.7331
"5198","USC00489905","9071R",9071,"R",44.9767,-110.6964
"5199","USC00489925","6236S",6236,"S",41.9131,-104.3881
"5200","USC00500243","9890S",9890,"S",60.9583,-149.1108
"5201","USC00500275","10201R",10201,"R",61.1561,-149.9847
"5202","USC00500302","10312R",10312,"R",61.6244,-149.3397
"5203","USC00500363","9302R",9302,"R",58.3183,-134.1003
"5204","USC00500464","8072S",8072,"S",58.3814,-134.645
